question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
11,5,single_passage,What is the capital and largest city of Zimbabwe?,1.0,1.0,Harare.,"Africa, between the Zambezi and Limpopo River, bordered by South Africa to the south, Botswana to the southwest, Zambia to the north, and Mozambique to the east. The capital and largest city is Harare, and the second largest is Bulawayo. A country of roughly 17.3 million people per 2026 estimates,[16] Zimbabwe's largest ethnic groups are the Northern Ndebele and Shona, who make up 95% of the population, followed by the other smaller minorities. Zimbabwe has 16 official languages,[4] with","of the population, and various Asian ethnic groups, mostly of Indian and Chinese origin, are 0.04%.[5] Largest cities or towns in Zimbabwe Source:[253] Rank Name Province Pop. Transportation Demographics Population Ethnic groups Largest cities Catholic church in Harare 1 Harare Harare 2,123,132 2 Bulawayo Bulawayo 1,200,337 3 Chitungwiza Harare 371,244 4 Mutare Manicaland 224,802 5 Gweru Midlands 158,200 6 Kwekwe Midlands 119,863 7 Kadoma Mashonaland West 116,300 8 Ruwa Mashonaland East 94,083 9","English, Shona, and Ndebele the most common. Zimbabwe is a member of the United Nations, the Southern African Development Community, the African Union, and the Common Market for Eastern and Southern Africa. The region was long inhabited by the San, and was settled by Bantu peoples around 2,000 years ago. Beginning in the 11th century the Shona people constructed the city of Great Zimbabwe, which became one of the major African trade centres by the 13th century.[17] From there, the Kingdom of"
12,5,single_passage,How many official languages does Zimbabwe have?,0.0,1.0,Zimbabwe has 16 official languages.,"Chinhoyi Mashonaland West 90,800 10 Masvingo Masvingo 90,286 Zimbabwe has 16 official languages and under the constitution, an Act of Parliament may prescribe other languages as officially recognised languages.[4] English is the main language used in the education and judicial systems. The Bantu languages Shona and Ndebele are the principal indigenous languages of Zimbabwe. Shona is spoken by 78% of the population, Ndebele by 20%. Other minority Bantu languages include Venda, Tsonga, Shangaan,","Kalanga, Sotho, Ndau and Nambya. Less than 2.5%, mainly the white and ""coloured"" (mixed race) minorities, consider English their native language.[254] Shona has a rich oral tradition, which was incorporated into the first Shona novel, Feso by Solomon Mutswairo, published in 1956.[255] English is primarily spoken in the cities but less so in rural areas. Radio and television news are broadcast in Shona, Sindebele and English. There is a large community of Portuguese speakers in Zimbabwe, mainly","""Zimbabweland""[25]—but ""Zimbabwe"" was sufficiently established by 1962 to become the generally preferred term of the black nationalist movement.[24] Like those of many African countries that gained independence during the Cold War, Zimbabwe is an ethnically neutral name. It is debatable to what extent Zimbabwe, being over 80% Shona and dominated by them in various ways, can be described as a nation state.[27] The constitution acknowledges 16 languages, but only embraces two of them nationally,"
13,6,single_passage,What is the capital and largest city of Malawi?,1.0,1.0,Lilongwe is the capital and largest city of Malawi.,"of July 2025).[10] Lilongwe is its capital and largest city. The part of Africa now known as Malawi was settled around the 10th century by the Akafula, also known as the Abathwa. Later, the Bantu groups came and drove out the Akafula and formed various kingdoms such as the Maravi and Nkhamanga kingdoms, that flourished from the 16th century.[11][12] The British Empire began to consolidate control of the area following the 1890 British Ultimatum against the Portuguese, who had claimed the area","ft) in the north. To the south of Lake Malawi lies the Shire Highlands, gently rolling land at approximately 914 metres (3,000 ft) above sea level. In this area, the Zomba and Mulanje mountain peaks rise to respective heights of 2,134 and 3,048 metres (7,000 and 10,000 ft).[21] Human rights Geography Lake Malawi Elephant in Majete Wildlife Reserve Malawi's capital is Lilongwe, and its commercial centre is Blantyre, with a population of over 500,000 people in 2006.[21] Malawi has two sites listed","nearly tripling the estimated 16 million in 2010.[112] Largest cities or towns in Malawi According to the 2018 Census[113] Rank Name Region Pop. 1 Lilongwe Central 989,318 2 Blantyre Southern 800,264 3 Mzuzu Northern 221,272 4 Zomba Southern 105,013 Women Demographics Population Cities Ethnic groups in Malawi (2018 census)[4] Ethnic groups per cent Chewa 34.4% Lomwe 18.9% Yao 14.3% Tumbuka 22.2% Sena 3.8% Mang'anja 3.2% Nyanja 1.9% Tonga 1.8% Ngonde 1% Lambya 0.6% Sukwa 0.5% Other 1.1% Languages"
14,6,single_passage,In what year did Malawi become independent and what was the territory called immediately before independence?,1.0,1.0,"Malawi became independent in **1964**; immediately before independence, it was called **Nyasaland** (the Nyasaland Protectorate).","dissolved in 1963, and on 6 July 1964, Nyasaland became independent from British rule and renamed itself Malawi, and that is commemorated as the nation's Independence Day, a public holiday.[31] Under a new constitution, Malawi became a republic in 1966 with Banda as its first president. The new government formally made Malawi a one-party state with the MCP as the only legal party. In 1971, Banda was declared president for life. For almost 30 years, Banda presided over a rigidly totalitarian","between Angola and Mozambique in the 1885 Pink Map.[13] In 1891, the area was designated by the British as the British Central African Protectorate, renamed Nyasaland in 1907. In 1964, Nyasaland became independent under Prime Minister Hastings Banda and was renamed Malawi. Two years later, Banda became president by converting the country into a one-party presidential republic. Banda was declared president for life in 1971. Malawi's first few decades of independence was characterized by Banda's","Republic of Malawi Dziko la Malaŵi (Chichewa) Charu cha Malaŵi (Chitumbuka) Flag Coat of arms Motto: ""Unity and Freedom"" Anthem: Mulungu dalitsani Malaŵi ""O God Bless Our Land of Malawi"" Malawi Malawi,[a][9] officially the Republic of Malawi,[b] is a landlocked country in Southeast Africa. It is bordered by Zambia to the west, Tanzania to the north and northeast, and Mozambique to the east, south, and southwest. Malawi spans over 118,484 km2 (45,747 sq mi) and has a population of 22,224,282 (as"
15,7,single_passage,What is the capital and largest city of Kenya?,1.0,1.0,Nairobi.,"secondlargest and oldest city is Mombasa, a port city located on Mombasa Island. Other major cities within the country include Kisumu, Nakuru and Eldoret. Going clockwise, Kenya is bordered by South Sudan to the northwest, Ethiopia to the north, Somalia to the east, the Indian Ocean to the southeast, Tanzania to the southwest, and Lake Victoria and Uganda to the west. Its geography, climate and population vary. In western Rift Valley counties, the landscape includes cold, snow-capped","Republic of Kenya Jamhuri ya Kenya (Swahili) Flag Coat of arms Motto: Harambee (English: ""Let us all pull together"") Anthem: Ee Mungu Nguvu Yetu (English: ""O God of All Creation"") Kenya Kenya,[a] officially the Republic of Kenya,[b] is a country located in East Africa. With an estimated population of more than 54.2 million as of mid- 2026,[12] it is the 26th-most populous country in the world[7] and the seventh-most populous in Africa. Kenya's capital and largest city is Nairobi. The","interior between 250 BC and 500 AD.[16] European contact began in 1500 AD with the Portuguese Empire, and effective colonisation of Kenya began in the 19th century during the European exploration of Africa. 0:000:00 / 0:00/ 0:00 Capital and largest city Nairobi 1°16′S 36°48′E Official languages Swahili · English[1] National language Swahili[1] Ethnic groups (2019 census)[2] 17.13% Kikuyu 14.35% Luhya 13.37% Kalenjin 10.65% Luo 9.81% Kamba 5.85% Somali 5.68% Kisii 5.23% Mijikenda 4.15% Meru"
16,7,single_passage,What does the Kenya Certificate of Secondary Education (KCSE) determine for students who take it?,1.0,1.0,"The Kenya Certificate of Secondary Education (KCSE) determines which students can proceed to universities, other professional training, or employment.","One (First Grade). At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training. The result of this examination is needed for placement at secondary school.[261] Primary school is for students aged 6/7-13/14 years. For those who proceed to the secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines","those proceeding to the universities, other professional training, or employment. Students sit examinations in eight subjects of their choosing. However, English, Kiswahili, and mathematics are compulsory subjects. The Kenya Universities and Colleges Central Placement Service (KUCCPS), formerly the Joint Admissions Board (JAB), is responsible for selecting students joining the public universities. Other than the public schools, there are many private schools, mainly in urban areas. Similarly,","there are a number of international schools catering to various overseas educational systems. Kenya was ranked 102nd in the Global Innovation Index in 2025.[264][265] The culture of Kenya comprises multiple traditions from 42 (+) tribes.[266] Kenya has no single prominent culture. It instead consists of the various cultures of the country's different communities. Notable populations include the Swahili on the coast, several other Bantu communities in the central and western regions, and Nilotic"
17,8,single_passage,What is the capital and largest city of Botswana?,1.0,1.0,Gaborone.,"area is 581,730 square kilometres (224,610 sq mi). Gaborone, in the South-East District, is the country's capital and largest city. Botswana is one of the most sparsely populated countries in the world. While it is not enshrined by statutory law, Botswana is de facto the nation state of the Batswana people, who constitute nearly 80% of the population while legally undistinguished Kalanga people, who account for another 11%, are the single largest ethnic minority. The Batswana ethnic group are",the second-highest Human Development Index of 0:000:00 / 0:00/ 0:00 Capital and largest city Gaborone 24°39.5′S 25°54.5′E Official languages English[1] National language Tswana[1] Ethnic groups (2024)[2] 79% Tswana 11% Kalanga 3% San 7% others[a] Religion (2021)[3] 15.2% no religion 4.1% Badimo 1.4% others[b] 0.3% unspecified Demonyms Batswana (plural) · Motswana (singular) [2] Government Unitary parliamentary republic with an executive presidency[4] • President Duma Boko • Vice-President Ndaba,"economic gains, Botswana continues to grapple with high unemployment, severe income inequality, and one of the world's most critical HIV/AIDS epidemics. Botswana is a member of the Southern African Customs Union, the Southern African Development Community, the Commonwealth of Nations and the United Nations. The country's name means ""Land of the Tswana"", referring to the dominant ethnic group in Botswana.[12][13] The Constitution of Botswana recognises a homogeneous Tswana state.[14] The demonym"
18,8,single_passage,Approximately what percentage of Botswana's territory is part of the Kalahari Desert?,0.0,1.0,Approximately **70%** of Botswana’s territory is part of the Kalahari Desert.,"the Okavango Basin Botswana's geography features a predominantly flat and dry landscape, with much of the country covered by the Kalahari Desert.[129] The country's terrain consists of sandy soils, rocky hill ranges, grasslands, and more.[129] Much of Botswana's population is concentrated in the southeastern part of the country, where major urban centres are located.[130] Botswana is a landlocked country in southern Africa, bordered by Namibia to the west and north, Zambia to the north, Zimbabwe","drought.[141] Groundwater use through deep borehole drilling has somewhat eased the effects of drought. Surface water is scarce in Botswana, and less than 5% of the agriculture in the country is sustainable by rainfall.[141] In the remaining 95% of the country, raising livestock is the primary source of rural income.[141] Approximately 71% of the country's land is used for communal grazing, which has been a major cause of the desertification and the accelerating soil erosion in the country.[141]","area is 581,730 square kilometres (224,610 sq mi). Gaborone, in the South-East District, is the country's capital and largest city. Botswana is one of the most sparsely populated countries in the world. While it is not enshrined by statutory law, Botswana is de facto the nation state of the Batswana people, who constitute nearly 80% of the population while legally undistinguished Kalanga people, who account for another 11%, are the single largest ethnic minority. The Batswana ethnic group are"
19,9,single_passage,What is the capital and most populous city of Angola?,0.0,1.0,Luanda is both the capital and the most populous city of Angola.,"of Angola (MPLA), 0:000:00 / 0:00/ 0:00 Capital and largest city Luanda 8°50′S 13°20′E Official languages Portuguese National languages Chokwe, Kimbundu, Kikongo, Oshiwambo, Luchazi, Umbundu Ethnic groups (2024)[1] 29% Ovimbundu 27% Ambundu 14% Bakongo 30% others Religion (2024)[2] 11.5% no religion 9.4% other Demonym Angolan Government Unitary presidential republic • President João Lourenço • Vice President Esperança da Costa[3] • President of the National Assembly Adão Correia de Almeida •","born per woman (2012 estimates), the 11th highest in the world.[91] Largest cities or towns in Angola According to the 2014 Census[190] Rank Name Province Pop. 1 Luanda Luanda 6,759,313 2 Lubango Huíla 600,751 3 Huambo Huambo 595,304 4 Benguela Benguela 555,124 5 Cabinda Cabinda 550,000 6 Malanje Malanje 455,000 7 Saurimo Lunda Sul 393,000 8 Lobito Benguela 357,950 9 Cuíto Bié 355,423 10 Uíge Uíge 322,531 Urbanisation Languages in Angola by Number of Native Speakers(2024 Census)[2] Languages","Republic of Angola República de Angola Flag Emblem Anthem: Angola Avante (English: Forward Angola) Angola Angola,[a] officially the Republic of Angola,[b] is a country on the western coast of Southern Africa. It is the second-largest Portuguese-speaking (Lusophone) country after Brazil in both total area and population and is the seventh-largest country in Africa. It is bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic"
20,9,single_passage,What is Angola's official language?,1.0,1.0,Portuguese.,"that order. Portuguese is the official language of the country. In 2014, a census carried out by the Instituto Nacional de Estatística in Angola mentions that 71.15% of the nearly 25.8 million inhabitants of Angola (meaning around 18.3 million people) use Portuguese at home.[191] According to the 2024 census, Portuguese is spoken natively by 45.5% of Angolans, Umbundu by 17.1%, Kimbundu by 10.8%, Chokwe by 6.9%, Kikongo by 6.9%, Nyaneka by 4.3%, Kwanyama by 2.9%, Ngangela by 2.0%, Fiote by 1.1%,","of Angola (MPLA), 0:000:00 / 0:00/ 0:00 Capital and largest city Luanda 8°50′S 13°20′E Official languages Portuguese National languages Chokwe, Kimbundu, Kikongo, Oshiwambo, Luchazi, Umbundu Ethnic groups (2024)[1] 29% Ovimbundu 27% Ambundu 14% Bakongo 30% others Religion (2024)[2] 11.5% no religion 9.4% other Demonym Angolan Government Unitary presidential republic • President João Lourenço • Vice President Esperança da Costa[3] • President of the National Assembly Adão Correia de Almeida •","percent Portuguese 45.5% Umbundu 17.1% Kimbundu 10.8% Chokwe 6.9% Kikongo 6.9% Nyaneka 4.3% Kwanyama 2.9% Ngangela 2.0% Fiote 1.1% Muhumbi 0.7% Luvale 0.5% Other 0.6% Situation of Portuguese as Native Language in each municipality of Angola A Catholic church in Uaco Cungo The languages in Angola are those originally spoken by the different ethnic groups and Portuguese, introduced during the Portuguese colonial era. The most widely spoken indigenous languages are Umbundu, Kimbundu and Kikongo, in"
