question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
17,8,single_passage,What is the capital and largest city of Botswana?,1.0,1.0,Gaborone,"the second-highest Human Development Index of 0:000:00 / 0:00/ 0:00 Capital and largest city Gaborone 24°39.5′S 25°54.5′E Official languages English[1] National language Tswana[1] Ethnic groups (2024)[2] 79% Tswana 11% Kalanga 3% San 7% others[a] Religion (2021)[3] 15.2% no religion 4.1% Badimo 1.4% others[b] 0.3% unspecified Demonyms Batswana (plural) · Motswana (singular) [2] Government Unitary parliamentary republic with an executive presidency[4] • President Duma Boko • Vice-President Ndaba Gaolathe • National Assembly Speaker Dithapelo Keorapetse Legislature Parliament (National Assembly) Independence from the United Kingdom • Established (Constitution) 30 September 1966 Area • Total 581,730 km2 (224,610 sq mi)[5] (47th) • Water (%) 2.7 Population • 2022 census 2,359,609[6] (143rd) • Density 4.1/km2 (10.6/sq mi) (231st) GDP (PPP) 2026 estimate • Total $54.820 billion[7] (124th) • Per capita $19,540[7] (83rd) continental sub-Saharan Africa, after South Africa. Despite Botswana’s","Republic of Botswana Lefatshe la Botswana Flag Coat of arms Motto: Pula ""Rain"" Anthem: ""Fatshe leno la rona"" ""This Land of Ours"" Botswana Botswana,[c] officially the Republic of Botswana,[d] is a landlocked country in Southern Africa. Botswana is topographically flat, with approximately 70% of its territory being a part of the Kalahari Desert. It is bordered by South Africa to the south and southeast, Namibia to the west and north, Zambia to the north, and Zimbabwe to the northeast. Its total area is 581,730 square kilometres (224,610 sq mi). Gaborone, in the South-East District, is the country's capital and largest city. Botswana is one of the most sparsely populated countries in the world. While it is not enshrined by statutory law, Botswana is de facto the nation state of the Batswana people, who constitute nearly 80% of the population while legally undistinguished Kalanga people, who account for another 11%, are the single largest ethnic minority. The Batswana ethnic group are","largest undeveloped uranium projects.[202] The government announced in early 2009 that they would try to diversify their economy and avoid overreliance on diamonds.[203] The Botswana Tourism Organisation is the country's official tourism group.[204] Other destinations in Botswana include the Gaborone Yacht Club and the Kalahari Fishing Club. The country has natural attractions such as the Gaborone Dam and Mokolodi Nature Reserve. There are golf courses that the Botswana Golf Union (BGU) maintains.[205] In 2014, the Okavango Delta of Botswana, the largest inland delta in the world, was inscribed as the 1,000th World Heritage Site.[206] Botswana has 971 kilometres (603 mi) of railway lines, 18,443.8 kilometres (11,460.4 mi) of roads, and 92 airports, of which 12 have paved runways. Of these roads, 7,383.2 kilometres (4,587.7 mi) are paved, while the other 11,060.6 kilometres (6,872.7 mi) are unpaved.[207] The national airline is Air Botswana, which flies domestically and to other"
18,8,single_passage,Approximately what percentage of Botswana's territory is part of the Kalahari Desert?,1.0,1.0,Approximately **70%**.,"Republic of Botswana Lefatshe la Botswana Flag Coat of arms Motto: Pula ""Rain"" Anthem: ""Fatshe leno la rona"" ""This Land of Ours"" Botswana Botswana,[c] officially the Republic of Botswana,[d] is a landlocked country in Southern Africa. Botswana is topographically flat, with approximately 70% of its territory being a part of the Kalahari Desert. It is bordered by South Africa to the south and southeast, Namibia to the west and north, Zambia to the north, and Zimbabwe to the northeast. Its total area is 581,730 square kilometres (224,610 sq mi). Gaborone, in the South-East District, is the country's capital and largest city. Botswana is one of the most sparsely populated countries in the world. While it is not enshrined by statutory law, Botswana is de facto the nation state of the Batswana people, who constitute nearly 80% of the population while legally undistinguished Kalanga people, who account for another 11%, are the single largest ethnic minority. The Batswana ethnic group are","Democratic Change defeated the Botswana Democratic Party, ending 58 years of BDP rule and making Duma Boko president.[126] His government has emphasized economic diversification, including solar energy and technology, while also confronting a major healthcare crisis caused by shortages of medicines and supplies.[127][128] Geography Physical geography Thunderstorms rolling in the Kalahari Desert The Okavango Delta is a river delta located in Botswana. Zebras roaming the Okavango Basin Botswana's geography features a predominantly flat and dry landscape, with much of the country covered by the Kalahari Desert.[129] The country's terrain consists of sandy soils, rocky hill ranges, grasslands, and more.[129] Much of Botswana's population is concentrated in the southeastern part of the country, where major urban centres are located.[130] Botswana is a landlocked country in southern Africa, bordered by Namibia to the west and north, Zambia to the north, Zimbabwe to the northeast, and South","through deep borehole drilling has somewhat eased the effects of drought. Surface water is scarce in Botswana, and less than 5% of the agriculture in the country is sustainable by rainfall.[141] In the remaining 95% of the country, raising livestock is the primary source of rural income.[141] Approximately 71% of the country's land is used for communal grazing, which has been a major cause of the desertification and the accelerating soil erosion in the country.[141] Botswana had a 2018 Forest Landscape Integrity Index mean score of 9.13/10, ranking it 8th globally out of 172 countries.[143] Botswana is a parliamentary republic governed by the Constitution of Botswana.[144] It is the longest uninterrupted democracy in Africa.[145] Its seat of government is in Gaborone.[146] Botswana's governing institutions were established after it became an independent nation in 1966.[144] Botswana's governmental structure is based on both the United Kingdom's Westminster system and the Tswana"
19,9,single_passage,What is the capital and most populous city of Angola?,1.0,1.0,Luanda,"Republic of Angola República de Angola Flag Emblem Anthem: Angola Avante (English: Forward Angola) Angola Angola,[a] officially the Republic of Angola,[b] is a country on the western coast of Southern Africa. It is the second-largest Portuguese-speaking (Lusophone) country after Brazil in both total area and population and is the seventh-largest country in Africa. It is bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. The Angolan province of Cabinda is an exclave on the Atlantic coast, bordering the Republic of the Congo and the Democratic Republic of the Congo. The capital and most populous city is Luanda. Angola has been inhabited since the Palaeolithic Age. After the Bantu expansion reached the region, states were formed by the 13th century and organised into confederations. The Kingdom of Kongo ascended to achieve hegemony among the other kingdoms from the 14th century. Portuguese explorers","(MPLA), 0:000:00 / 0:00/ 0:00 Capital and largest city Luanda 8°50′S 13°20′E Official languages Portuguese National languages Chokwe, Kimbundu, Kikongo, Oshiwambo, Luchazi, Umbundu Ethnic groups (2024)[1] 29% Ovimbundu 27% Ambundu 14% Bakongo 30% others Religion (2024)[2] 11.5% no religion 9.4% other Demonym Angolan Government Unitary presidential republic • President João Lourenço • Vice President Esperança da Costa[3] • President of the National Assembly Adão Correia de Almeida • Chief Justice Norberto Sodré João Legislature National Assembly Independence from Portugal • Granted 11 November 1975 • United Nations full membership 22 November 1976 • Current constitution 21 January 2010 Area • Total 1,246,700 km2 (481,400 sq mi) backed by the Soviet Union and Cuba; the insurgent National Union for the Total Independence of Angola, an originally Maoist and later anti-communist group supported by the United States and South Africa; the militant organisation National Liberation Front of","Portuguese influence, namely the predominance of the Portuguese language and of the Catholic Church, intermingled with a variety of indigenous customs and traditions. The name Angola is based on the Portuguese colonial name Reino de Angola ('Kingdom of Angola'), which appeared as early as Paulo Dias de Novais's 1571 charter.[13] The toponym was derived by the Portuguese from the title ngola, held by the kings of Ndongo and Matamba. Ndongo in the highlands, between the Kwanza and Lucala rivers, was nominally a possession of the Kingdom of Kongo.[14] Major cities of Angola 79.1% Christianity 44.2% Catholic 34.9% Protestant Etymology History (22nd) • Water (%) negligible Population • 2024 census 36,604,681[2] (41st) • Density 29.4/km2 (76.1/sq mi) (189th) GDP (PPP) 2025 estimate • Total $402.160 billion[4] (58th) • Per capita $10,230[4] (125th) GDP (nominal) 2025 estimate • Total $113.34 billion[4] (68th) • Per capita $2,880[4] (137th) Gini (2018) 51.3[5] high inequality HDI (2023)"
20,9,single_passage,What is Angola's official language?,0.0,1.0,Angola’s official language is Portuguese.,"Other 0.6% Situation of Portuguese as Native Language in each municipality of Angola A Catholic church in Uaco Cungo The languages in Angola are those originally spoken by the different ethnic groups and Portuguese, introduced during the Portuguese colonial era. The most widely spoken indigenous languages are Umbundu, Kimbundu and Kikongo, in that order. Portuguese is the official language of the country. In 2014, a census carried out by the Instituto Nacional de Estatística in Angola mentions that 71.15% of the nearly 25.8 million inhabitants of Angola (meaning around 18.3 million people) use Portuguese at home.[191] According to the 2024 census, Portuguese is spoken natively by 45.5% of Angolans, Umbundu by 17.1%, Kimbundu by 10.8%, Chokwe by 6.9%, Kikongo by 6.9%, Nyaneka by 4.3%, Kwanyama by 2.9%, Ngangela by 2.0%, Fiote by 1.1%, Muhumbi by 0.7%, Luvale by 0.5%, and other languages by 0.6%.[2] There are about 1,000 religious communities, mostly Christian, in Angola.[192] About 4","Portuguese influence, namely the predominance of the Portuguese language and of the Catholic Church, intermingled with a variety of indigenous customs and traditions. The name Angola is based on the Portuguese colonial name Reino de Angola ('Kingdom of Angola'), which appeared as early as Paulo Dias de Novais's 1571 charter.[13] The toponym was derived by the Portuguese from the title ngola, held by the kings of Ndongo and Matamba. Ndongo in the highlands, between the Kwanza and Lucala rivers, was nominally a possession of the Kingdom of Kongo.[14] Major cities of Angola 79.1% Christianity 44.2% Catholic 34.9% Protestant Etymology History (22nd) • Water (%) negligible Population • 2024 census 36,604,681[2] (41st) • Density 29.4/km2 (76.1/sq mi) (189th) GDP (PPP) 2025 estimate • Total $402.160 billion[4] (58th) • Per capita $10,230[4] (125th) GDP (nominal) 2025 estimate • Total $113.34 billion[4] (68th) • Per capita $2,880[4] (137th) Gini (2018) 51.3[5] high inequality HDI (2023)","Republic of Angola República de Angola Flag Emblem Anthem: Angola Avante (English: Forward Angola) Angola Angola,[a] officially the Republic of Angola,[b] is a country on the western coast of Southern Africa. It is the second-largest Portuguese-speaking (Lusophone) country after Brazil in both total area and population and is the seventh-largest country in Africa. It is bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. The Angolan province of Cabinda is an exclave on the Atlantic coast, bordering the Republic of the Congo and the Democratic Republic of the Congo. The capital and most populous city is Luanda. Angola has been inhabited since the Palaeolithic Age. After the Bantu expansion reached the region, states were formed by the 13th century and organised into confederations. The Kingdom of Kongo ascended to achieve hegemony among the other kingdoms from the 14th century. Portuguese explorers"
21,0,multi_passage,How did Portuguese arrival and the post-independence civil war shape Mozambique's modern history?,0.5,1.0,"Portuguese arrival in Mozambique, beginning in the early sixteenth century and intensifying after 1505, established more than four centuries of colonial rule. Portugal controlled ports, trade, land, and labor, while colonial policies favored Portuguese settlers and companies and gave limited attention to the development and political integration of African communities. After the colonies were renamed “overseas provinces” in 1951, Portugal introduced some reforms, but discrimination, forced labor, economic inequality, and political repression continued. These conditions encouraged African nationalist movements, especially FRELIMO, which fought the Portuguese in the Mozambican War of Independence. Mozambique became independent in 1975.

Independence brought a FRELIMO-led Marxist government that nationalized much private property, adopted centralized economic planning, and inherited a weak economy and limited infrastructure. The departure of many Portuguese settlers and skilled workers further disrupted administration, agriculture, and industry. FRELIMO’s policies and its one-party system also alienated sections of the population, while neighboring Rhodesia and later apartheid South Africa supported RENAMO as an anti-communist insurgency.

Civil war began in 1977 and lasted until the 1992 peace agreement. RENAMO attacks and government counterinsurgency destroyed roads, schools, health facilities, farms, and commercial infrastructure. The government often controlled only towns and major transport routes, while RENAMO held or contested large rural areas. Famine, displacement, economic collapse, and dependence on foreign aid became defining features of the period. The war also deepened regional, political, and social divisions.

The peace settlement led to multiparty elections in 1994 and the transformation of Mozambique into a presidential democracy. Since then, the country has achieved periods of economic growth, supported by agriculture, fishing, industry, aluminium, gas, and tourism. However, colonial inequalities, the destruction caused by the civil war, uneven regional development, and continued political tensions—including later low-intensity insurgencies in the north—remain important parts of Mozambique’s modern history.","a long and violent civil war between the opposition forces of anti-communist Mozambican National Resistance (RENAMO) rebel militias and the FRELIMO regime. This conflict characterised the first decades of Mozambican independence, combined with sabotage from the neighbouring states of Rhodesia and South Africa, ineffective policies, failed central planning, and the resulting economic collapse. This period was also marked by the exodus of Portuguese nationals and Mozambicans of Portuguese heritage,[40] a collapsed infrastructure, lack of investment in productive assets, and government nationalisation of privately owned industries, as well as widespread famine. During most of the civil war, the FRELIMO-formed central government was unable to exercise effective control outside urban areas, many of which were cut off from the capital.[20] RENAMO-controlled areas included up to 50% of the rural areas in several provinces, and it is reported that health services of any Independence (1975)","Company's concession. In 1951, the Portuguese overseas colonies in Africa were rebranded as Overseas Provinces of Portugal.[31][32][33] As communist and anti-colonial ideologies spread out across Africa, many clandestine political movements were established in support of Mozambican independence. These movements claimed that since policies and development plans were primarily designed by the ruling authorities for the benefit of Mozambique's Portuguese population, little attention was paid to Mozambique's tribal integration and the development of its native communities.[34] According to the official guerrilla statements, this affected a majority of the indigenous population who suffered both state-sponsored discrimination and enormous social pressure. As a response to the guerrilla movement, the Portuguese government, from the 1960s and principally the early 1970s, initiated gradual changes with new socioeconomic developments and egalitarian policies.[35] Mozambican War of Independence","in 1505. After over four centuries of Portuguese rule, Mozambique gained independence in 1975, becoming the People's Republic of Mozambique shortly thereafter. After only two years of independence, the country descended into an intense and protracted civil war lasting from 1977 to 1992. In 1994, Mozambique held its first multiparty elections and has since remained a relatively stable presidential republic, although it still faces a lowintensity insurgency mainly in the furthest regions from the southern capital and where Islam is the dominant faith. Mozambique is endowed with rich and extensive natural resources. The country's economy is based chiefly on fishery—mostly molluscs, crustaceans and echinoderms—and agriculture with a growing industry of food and beverages, chemical manufacturing, aluminium and oil. The tourism sector is expanding. Mozambique's GDP grew significantly after 2001, but since 2014/15, both a significant decrease in household real consumption 0:000:00 / 0:00/"
22,1,multi_passage,"How did Tanganyika and Zanzibar become Tanzania, and what does the article say about Tanzania's linguistic diversity?",0.0,0.5,"Tanganyika gained independence from Britain in 1961, and Zanzibar became independent in 1963. The two governments united in 1964, forming the United Republic of Tanzania; the name combines “Tan” from Tanganyika and “Zan” from Zanzibar. The union was somewhat controversial in Zanzibar but was supported by both governments.

The article says Tanzania is extremely linguistically diverse, with more than 130 languages spoken across the country. Despite this diversity, ethnic divisions have generally remained relatively rare, partly because of efforts under President Julius Nyerere to promote a shared national identity.","Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's independence and unification with Zanzibar leading to the state of Tanzania, President Nyerere emphasised a need to construct a national identity for the citizens of the new country. To achieve this, Nyerere provided what is regarded as one of the most successful cases of ethnic repression and identity transformation in Africa.[68] With more than 130 languages spoken within its territory, Tanzania is one of the most ethnically diverse countries in Africa. Despite this obstacle, ethnic divisions remained rare in Tanzania when compared","United Nations, Group of 77, African Union, East African Community, and the Non-Aligned Movement. The name ""Tanzania"" was created as a clipped compound of the names of the two states that unified to create the country: Tanganyika and Zanzibar in 1964.[30] When Zanzibar and Tanganyika were uniting, national newspaper The Standard ran a contest for a new name, which was won by Mohammed Iqbal Dar. Iqbal claimed that he formulated the name by taking ""Tan"" and ""zan"" from the uniting states, ""i"" from his own name, and adding ""a"" as a reference to Ahmadiyya.[31] The name Tanganyika derives from the Swahili words tanga ""sail"" and nyika ""uninhabited plain, wilderness"", creating the phrase ""sail in the wilderness"". It is sometimes understood as a reference to Lake Tanganyika.[32] The name ""Zanzibar"" derives from Zanj, the name of a local people, and Arabic barr ""coast"" or ""shore.""[33] Zanj comes from Al-Zanjia, the Arabic name for the East African coast. This word is related to Azania, the Greek","Eastern Cushitic people who moved into Tanzania from north of Lake Turkana about 2,000 and 4,000 years ago;[15] and the Southern Nilotes, including the Datoog, who originated from the present-day South Sudan–Ethiopia border region between 2,900 and 2,400 years ago.[15]: 18 These movements took place at about the same time as the settlement of the Mashariki Bantu from West Africa in the Lake Victoria and Lake Tanganyika areas.[15][16] In the late 19th century, the mainland came under German rule as German East Africa. This was followed by British rule after World War I when it was governed as Tanganyika, with the Zanzibar Archipelago remaining a separate colonial jurisdiction. Following their gaining respective independence in 1961 and 1963, the two entities merged in 1964 to form the United Republic of Tanzania.[17] Tanganyika joined the British Commonwealth, and Tanzania remains a Commonwealth country as a unified republic.[18] Today, the country is a presidential constitutional"
23,2,multi_passage,How did apartheid and the 1994 elections affect political representation in South Africa?,1.0,1.0,"Apartheid denied the Black majority and other racial groups meaningful political rights, reserving political power largely for the white minority and enforcing racial segregation through law.  

The 1994 elections ended this system by introducing universal suffrage. The African National Congress won decisively, Nelson Mandela became president, and South Africa established an inclusive, multiracial parliamentary democracy in which all racial groups could vote and hold political office.","gradually eroded, and the vast majority of Black South Africans were not enfranchised until 1994.[23] The National Party imposed apartheid in 1948, institutionalising previous racial segregation. After a struggle by the African National Congress and other anti-apartheid activists, both inside and outside the country, the repeal of discriminatory laws began in the mid-1980s. Universal elections took place in 1994, following which all racial groups have held political representation in the country's liberal democracy, which comprises a parliamentary republic and nine provinces. Recognised as a middle power in international affairs, South Africa maintains significant regional influence and is a member of BRICS+, the African Union (hosting the seat of the Pan-African Parliament), SADC, SACU, the Commonwealth of Nations, and the G20.[24][25] A developing and newly industrialised country, it has the largest economy in Africa by nominal GDP,[26][27] is tied with Ethiopia for the most UNESCO","discussions with Nelson Mandela in 1993 for a transition of policies and government. In 1990, the National Party government took the first step towards dismantling apartheid when it lifted the ban on the ANC and other political organisations. It released Nelson Mandela from prison after 27 years of serving a sentence for sabotage and treason. A negotiation process followed. With approval from the white electorate in a 1992 referendum, the government continued negotiations to end apartheid. South Africa held its first universal elections in 1994, which the ANC won by an overwhelming majority. The country rejoined the Commonwealth of Nations and became a member of the Southern African Development Community.[107] The post-apartheid period, whilst plagued by high unemployment and increasing income inequality,[108][109][110] has been characterised by relative political stability. The country has, however, seen periodic outbreaks of violence, most notably the 2008 xenophobic riots—during","(1 June 2024). ""In a historic election, South Africa's ANC loses majority for the first time"" (https://www.npr.org/2024/06/01/nx-s1-4987616/south-africa-electi on-results). NPR. Retrieved 26 August 2024. 159. Usher, Barbara Plett (14 June 2024). ""A landmark moment in South Africa for a humbled ANC"" (https://www.bbc.com/news/articles/cw55w4z3gqeo). BBC. Retrieved 26 August 2024. 160. ""Chapter 4 – Parliament"" (https://web.archive.org/web/20130530232314/http://www.info.gov. za/documents/constitution/1996/96cons4.htm). 19 August 2009. Archived from the original (http://www.info.gov.za/documents/constitution/1996/96cons4.htm#42) on 30 May 2013. Retrieved 3 August 2013. 161. Alexander, Peter (27 March 2012). ""Protests and Police Statistics: Some Commentary"" (http s://www.amandla.org.za/protests-and-police-statistics-some-commentary-by-prof-peter-alex ander/). Amandla. Archived (https://web.archive.org/web/20231128234908/https://www.ama"
24,3,multi_passage,What does the article say about Eswatini's political system and the sectors providing most employment?,1.0,1.0,"Eswatini is a unitary diarchic absolute monarchy ruled by King Mswati III. Elections are held for the legislature, but political parties are banned. Most employment comes from the agricultural and manufacturing sectors.","state and the king, including land and large corporations such as RES (Royal Eswatini Sugar) Corporation which is majority owned by the king's sovereign wealth fund, Tibiyo Taka Ngwane, with an additional 6.5% owned by the Eswatini government.[119] For much of the population, private economic activity involves subsistence agriculture. There are also private businesses run by 15,000 businessmen including descendants of British settlers and some South African investors who have come to Eswatini because they can hire employees at a third of the pay rates they would pay in South Africa.[117] King Mswati III receives 8% of the national budget for official expenses. The police force receives 5% of the budget, as do the armed forces.[117] Largest cities or towns in Eswatini Source:[120] Rank Name Region Pop. 1 Manzini Manzini 110,537 2 Mbabane Hhohho 76,218 3 Big Bend Lubombo 10,342 4 Malkerns Manzini 9,724 5 Nhlangano Shiselweni 9,016 6 Mhlume Lubombo 8,652 7 Hluti Shiselweni 6,763 8 Siteki","pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment is provided by its agricultural and manufacturing sectors. Eswatini is a member of the Southern African Development Community, the African Union, the Commonwealth of Nations, and the United Nations. Eswatini's government is an absolute monarchy, the last of its kind in Africa.[22] The country has been ruled by King Mswati III since 1986.[23][24] Elections are held every five years to determine the House of Assembly and the Senate majority, but political parties are prohibited from running.[25]","regions. They compare more favourably with firms from lower middle income countries but are hampered by inadequate governance arrangements and infrastructure.[118] Eswatini's currency, the lilangeni, is pegged to the South African rand, subsuming Eswatini's monetary policy to South Africa. Customs duties from the Southern African Customs Union and worker remittances from South Africa substantially supplement domestically earned income. Eswatini is not poor enough to merit an IMF programme; however, the country is struggling to reduce the size of the civil service and control costs at public enterprises. The government is trying to improve the atmosphere for foreign direct investment.[118] Eswatini's population in thousands (1950–2021) As of 2018, public services were very poorly developed. The country had only twelve public ambulances, elementary schools generally no longer provided canteens and pharmacies were disappearing.[117] A large amount of wealth in Eswatini is held by the"
25,4,multi_passage,How are Lesotho's high elevation and rainfall pattern described in the article?,0.5,0.5,"Lesotho’s high elevation keeps it cooler year-round than other places at the same latitude. Rainfall is highly variable by season and location: most rain falls during summer thunderstorms, mainly from October to April, with February especially wet, while June is generally very dry. Annual totals range from about 500 mm in some areas to 1,200 mm in others.","February, the majority of the country receives over 100 millimetres (3.9 in) of rain a month. The least monthly rainfall in Lesotho occurs in June when most regions receive less than 15 mm a month.[58] Periodic droughts have an effect on Lesotho's majority rural population as some people living outside of urban areas rely on subsistence farming or small scale agriculture as their primary source of income.[59] Droughts in Lesotho are exacerbated by some agricultural practices.[60] The World Factbook lists periodic droughts under the 'Natural Hazard' section of Lesotho's section of the publication.[10] Geography Climate Drought Hills Aloe polyphylla In 2007, Lesotho experienced a drought and was advised by the United Nations to declare a state of emergency to get aid from international organizations.[59] The Famine Early Warning Systems Network reported that the rainy season of 2018/2019 not only started a month later than normal but also recorded below-average amounts of rain.[61] Data","lies between latitudes 28° and 31°S, and longitudes 27° and 30°E. About 12% of Lesotho is arable land which is vulnerable to soil erosion; it is estimated that 40 million tons of soil are lost each year due to erosion.[58] Because of its elevation, Lesotho remains cooler throughout the year than other regions at the same latitude. Most of the rain falls as summer thunderstorms. Maseru and surrounding lowlands may reach 30 °C (86 °F) in summer. The temperature in the lowlands can get down to −7 °C (19 °F) and the highlands to −18 °C (0 °F) at times. Snow is more common in the highlands between May and September; the higher peaks may experience snowfalls year-round. Rainfall in Lesotho is variable regarding both when and where precipitation occurs. Annual precipitation can vary from 500 millimetres (20 in) annually in one area to 1,200 millimetres (47 in) in another because of elevation. The summer season that stretches from October to April sees the most rainfall, and from December to","from the Climate Hazards Group InfraRed Precipitation Station (CHIRP) shows rainfall in Lesotho between October 2018 and February 2019 ranged from 55% to 80% below normal rates.[61] In March 2019, the Lesotho Vulnerability Assessment and Analysis Committee conducted a report that initially predicted that 487,857 people in the country need humanitarian assistance because of the effects of drought.[61] There are a variety of different ways drought in Lesotho has led to the need for humanitarian assistance. Some hygiene practices that result from ""a lack of clean water"" can cause cases of typhoid and diarrhea. Lack of available water indirectly leads to an ""increased risk"" for women and girls who collect water for household consumption as they must spend more time and travel longer distances while running the risk of being physically or sexually assaulted.[61] Drought in Lesotho leads to both migration to more urban areas and immigration to South Africa for new opportunities and to escape"
26,5,multi_passage,How does the article connect Great Zimbabwe's early history with the later establishment of Rhodesia?,0.0,0.5,"The article presents Great Zimbabwe as the region’s ancient Shona civilization and the source of the name “Zimbabwe,” probably meaning “houses of stone” or “venerated houses.” Centuries later, the same territory was occupied and administered by Cecil Rhodes’s British South Africa Company. It was named **Rhodesia** in Rhodes’s honour, with **Southern Rhodesia** becoming the official designation in 1898. Thus, the article contrasts an old, indigenous state symbolized by Great Zimbabwe with the later colonial territory established through European conquest and the subjugation and displacement of the Ndebele and Shona peoples.","978-1-4051-0751-8. 33. Nelson, Harold (1983). Zimbabwe: A Country Study. The Studies. pp. 1–317. 34. Hensman, Howard (2018) [1901]. Cecil Rhodes: A Study of a Career (https://books.google.c om/books?id=ZebPswEACAAJ) (reprint ed.). Creative Media Partners, LLC. pp. 106–107. ISBN 9781376448528. Retrieved 12 July 2020. 35. Parsons, pp. 178–81. 36. Bryce, James (2008). Impressions of South Africa. p. 170; ISBN 055430032X. 37. Southern Rhodesia Order in Council of 20 October 1898, which includes at section 4 thereof: ""The territory for the time being within the limits of this Order shall be known as Southern Rhodesia."" 38. Gray, J. A. (1956). ""A Country in Search of a Name"" (https://web.archive.org/web/20090430 203902/http://www.nrzam.org.uk/NRJ/V3N1/V3N1.htm). The Northern Rhodesia Journal. 3 (1): 78. Archived from the original (http://www.nrzam.org.uk/NRJ/V3N1/V3N1.htm) on 30 April 2009. Retrieved 16 May 2007. 39. ""Zimbabwe | South African History Online""","territory, in honour of Rhodes. In 1898, ""Southern Rhodesia"" became the official name for the region south of the Zambezi river,[37][38] which later adopted the name ""Zimbabwe"". The region to the north, administered separately, was later termed Northern Rhodesia (present-day Zambia). Shortly after the disastrous Rhodes-sponsored Jameson Raid on the South African Republic, the Ndebele rebelled against white rule, led by their charismatic religious leader, Mlimo. The Second Matabele War of 1896–1897 lasted in Matabeleland until 1896, when Mlimo was assassinated by U.S. scout Frederick Russell Burnham. Shona agitators staged unsuccessful revolts (known as Chimurenga) against company rule during 1896 and 1897. Following these failed insurrections, the Rhodes administration subdued the Ndebele and Shona groups and organised the land with a disproportionate bias favouring Europeans, thus displacing many indigenous peoples.[39] The United Kingdom annexed Southern Rhodesia on 12 September","medieval city (Masvingo) in the country's south-east. Two different theories address the origin of the word. Many sources hold that ""Zimbabwe"" derives from dzimba-dza-mabwe, translated from the Karanga dialect of Shona as ""houses of stones"" (dzimba = plural of imba, ""house""; mabwe = plural of ibwe, ""stone"").[20][21][22] The Karanga-speaking Shona people live around Great Zimbabwe in the modern-day Masvingo province. Archaeologist Peter Garlake claims that ""Zimbabwe"" represents a contracted form of dzimba-hwe, which means ""venerated houses"" in the Zezuru dialect of Shona and usually references chiefs' houses or graves.[23] Zimbabwe was formerly known as Southern Rhodesia (1898), Rhodesia (1965), and Zimbabwe Rhodesia (1979). The first recorded use of ""Zimbabwe"" as a term of national reference dates from 1960 as a coinage by the black nationalist 84.1% Christianity 69.2% Protestantism 14.9% other Christian Etymology Independence from the United Kingdom • Declared 11 November 1965 •"
