question_id,document_id,title,source_url,question_type,question,reference_answer,supporting_text_1,supporting_text_2,verification_status
41,0,Mozambique,https://en.wikipedia.org/wiki/Mozambique,multi_passage,"What role does Portuguese play in education, and what are the main activities described as the basis of Mozambique's economy?","Portuguese is the primary language of instruction in all Mozambican schools. The economy is based chiefly on fishery and agriculture, with growing industries including food and beverages, chemical manufacturing, aluminium and oil.",Mozambique has been experiencing high levels of acute food insecurity for years.[142] Portuguese is the primary language of instruction in all Mozambican schools.,"The country's economy is based chiefly on fishery—mostly molluscs, crustaceans and echinoderms—and agriculture with a growing industry of food and beverages, chemical manufacturing, aluminium and oil.",verified
42,1,Tanzania,https://en.wikipedia.org/wiki/Tanzania,multi_passage,"Which two Great Lakes are highlighted in Tanzania's geography, and what happened to the country's economy from the late 1970s?",Lake Victoria and Lake Tanganyika are highlighted; the article says that Tanzania's economy took a turn for the worse from the late 1970s in the context of an international economic crisis.,"To the north and west lie Lake Victoria, Africa's largest lake, and Lake Tanganyika, the continent's deepest lake, known for its unique species of fish.","From 1970 to 1975, China financed and helped build the 1,860-kilometre-long (1,160 mi) TAZARA Railway from Dar es Salaam, Tanzania, to Kapiri Mposhi, Zambia.[72] Nonetheless, from the late 1970s, Tanzania's economy took a turn for the worse, in the context of an international economic crisis affecting both developed and developing economies.",verified
43,2,South Africa,https://en.wikipedia.org/wiki/South_Africa,multi_passage,How does the article describe South Africa's political-geographic structure and its economic position in Africa?,South Africa consists of nine provinces and has the largest economy in Africa by nominal GDP.,"ms Motto: ""ǃke e꞉ ǀxarra ǁke"" (ǀXam) ""Unity in diversity"" Anthem: ""National Anthem of South Africa"" South Africa South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.[d] The country consists of nine provinces, and is bounded to the south by 2,798 kilometres (1,739 miles) of coastline that stretches along the South Atlantic and Indian Ocean;[16][17][18] to the north by the neighbouring countries of Namibia, Botswana, and Zimbabwe; and to the eas","Recognised as a middle power in international affairs, South Africa maintains significant regional influence and is a member of BRICS+, the African Union (hosting the seat of the Pan-African Parliament), SADC, SACU, the Commonwealth of Nations, and the G20.[24][25] A developing and newly industrialised country, it has the largest economy in Africa by nominal GDP,[26][27] is tied with Ethiopia for the most UNESCO World Heritage Sites in Africa,[28] and is a biodiversity hotspot with unique biomes, plant, and animal life.",verified
44,3,Eswatini,https://en.wikipedia.org/wiki/Eswatini,multi_passage,"How did Eswatini's official name change in 2018, and what is the prevalent language identified in the article?","In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini. The prevalent language is Swazi (siSwati in native form).","Its boundaries were drawn up in 1881 in the midst of the European Scramble for Africa.[16] After the Second Boer War, the kingdom, under the name of Swaziland, was a British high commission territory from 1903 until it regained its full independence on 6 September 1968.[17] In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini, the name commonly used in the Swazi language.[14][18][19] Eswatini is a developing country that is classified as having a lower-middle income economy.",The prevalent language is Swazi (siSwati in native form).,verified
45,4,Lesotho,https://en.wikipedia.org/wiki/Lesotho,multi_passage,What are two main features of Lesotho's economy and currency system described in the article?,"The economy is based on agriculture, livestock, manufacturing and mining, and the loti can be used interchangeably with the South African rand.","The Katse Botanical Gardens houses a collection of medicinal plants and has a seed bank of plants from the Malibamatšo River area.[62][63] Three terrestrial ecoregions lie within Lesotho's boundaries: Drakensberg altimontane grasslands and woodlands, Drakensberg montane grasslands, and Highveld grasslands.[64] The economy of Lesotho is based on agriculture, livestock, manufacturing and mining, and depends workers' remittances and receipts from the SACU.[65][66] Most of the population is involved in subsistence farming.","A reduction in worker remittances due to the ""weakening"" of the South African economy, contraction of the mining sector, and related job losses in South Africa contributed to Lesotho's GDP growth slowing to 0.9% in 2009.[65] Lesotho was ranked 132nd in the Global Innovation Index in 2025.[77][78] The official currency is the loti (plural: maloti) which can be used interchangeably with the South African rand.",verified
46,5,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,multi_passage,What does the article state about Zimbabwe's official languages and its economic decline from 1997 to 2008?,"Zimbabwe has 16 official languages. From 1997 to 2008, its economy experienced consistent decline, with hyperinflation in the latter years.","a selfgoverning British colony. In 1965, the white minority government unilaterally declared independence as Rhodesia. The state endured international isolation 0:000:00 / 0:00/ 0:00 Capital and largest city Harare[a] 17°49′45″S 31°03′08″E Official languages 16 languages:[4] Chewa · Chibarwe · English · Kalanga · Khoisan · Nambya · Ndau · Ndebele · Shangani · Shona · Sotho · Tonga · Tswana · Venda · Xhosa · Zimbabwean sign language Ethnic groups (2022 census)[5] 99.6% Black African[b] 0.2% Europe","Under Mugabe's authoritarian regime, the state security apparatus dominated the country and was responsible for widespread human rights violations, which received worldwide condemnation.[19] From 1997 to 2008, the economy experienced consistent decline (and in the latter years, hyperinflation), though it has since seen rapid growth after the use of currencies other than the Zimbabwean dollar was permitted.",verified
47,6,Malawi,https://en.wikipedia.org/wiki/Malawi,multi_passage,What does the article say about Lake Malawi's biological richness and the country's economic dependence on agriculture?,"Lake Malawi is described as having one of the richest lake fish faunas in the world, while Malawi's economy is based on agriculture and more than one-third of GDP and 90% of export revenues come from it.","Lake Malawi has been described as having one of the richest lake fish faunas in the world, being the home for some 200 mammals, 650 birds, 30+ mollusks, and 5,500+ plant species.[72] Seven terrestrial ecoregions lie within Malawi's borders: Central Zambezian miombo woodlands, Eastern miombo woodlands, Southern miombo woodlands, Zambezian and mopane woodlands, Zambezian flooded grasslands, South Malawi montane forest-grassland mosaic, and Southern Rift montane forest-grassland mosaic.[73] There are five national parks, four wildlife and game reserves and two other protected areas.[74] The 2019 Forest Landscape Integrity Index mean score was 5.74/10, ranking it 96th globally out of 172 countries.[75] Malawi is among the world's least developed countries.","The economy is based on agriculture, and more than one-third of GDP and 90% of export revenues come from this.",verified
48,7,Kenya,https://en.wikipedia.org/wiki/Kenya,multi_passage,How does the article describe Kenya's cultural diversity and the sectors associated with recent economic expansion?,"Kenya has no single prominent culture and instead comprises multiple traditions from many communities. The economy has expanded through tourism, higher education, telecommunications and agriculture, especially tea.",Kenya was ranked 102nd in the Global Innovation Index in 2025.[264][265] The culture of Kenya comprises multiple traditions from 42 (+) tribes.[266] Kenya has no single prominent culture.,"The economy has seen much expansion, seen by strong performance in tourism, higher education and telecommunications and decent post-drought results in agriculture, especially the vital tea sector.[176] Kenya's economy grew by more than 7% in 2007, and its foreign debt was greatly reduced.[176] This changed immediately after the disputed presidential election of December 2007, following the chaos which engulfed the country.",verified
49,8,Botswana,https://en.wikipedia.org/wiki/Botswana,multi_passage,How are Botswana's independence and the importance of its mineral industry described?,"Bechuanaland became an independent Commonwealth republic under the name Botswana on 30 September 1966, and the mineral industry provides about 40% of all government revenues.","As part of the decolonisation of Africa, Bechuanaland became an independent Commonwealth republic under its current name on 30 September 1966.","Botswana is ranked second only to South Africa among sub-Saharan African countries in the 2014 International Property Rights Index.[196] In Botswana, the Department of Mines and Mineral Resources, Green Technology and Energy Security maintains data regarding mining throughout the country.[198][199] Debswana, the largest diamond mining company operating in Botswana, is a joint venture, 50% owned by the government.[200] The mineral industry provides about 40% of all government revenues.[201] Botswana has not begun mining uranium; however, the Letlhakane Uranium Project in Africa is one of the largest undeveloped uranium projects.[202] The government announced in early 2009 that they would try to diversify their economy and avoid overreliance on diamonds.[203] The Botswana Tourism Organisation is the country's official tourism group.[204] Other destinations in Botswana include the Gaborone Yacht Club and the Kalahari Fishing Club.",verified
50,9,Angola,https://en.wikipedia.org/wiki/Angola,multi_passage,What does the article say about Cabinda's geographic status and the importance of oil and diamonds to Angola's economy?,"Cabinda is an Angolan exclave on the Atlantic coast bordering the Republic of the Congo and the Democratic Republic of the Congo. Since independence, oil and diamonds have been the most important economic resources.","The Angolan province of Cabinda is an exclave on the Atlantic coast, bordering the Republic of the Congo and the Democratic Republic of the Congo.","Since independence, oil and diamonds have been the most important economic resources.",verified
